(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
negative regulation of endothelial cell development	GO:1901551	positive regulation of endothelial cell development	GO:1901552
negative regulation of endothelial cell differentiation	GO:0045602	positive regulation of endothelial cell differentiation	GO:0045603
negative regulation of endothelial cell migration	GO:0010596	positive regulation of endothelial cell migration	GO:0010595
negative regulation of endothelial cell proliferation	GO:0001937	positive regulation of endothelial cell proliferation	GO:0001938
negative regulation of endothelial cell-matrix adhesion via fibronectin	GO:1904905	positive regulation of endothelial cell-matrix adhesion via fibronectin	GO:1904906
negative regulation of endothelial microparticle formation	GO:2000336	positive regulation of endothelial microparticle formation	GO:2000337
negative regulation of endothelial tube morphogenesis	GO:1905955	positive regulation of endothelial tube morphogenesis	GO:1905956
negative regulation of endothelin production	GO:1904471	positive regulation of endothelin production	GO:1904472
negative regulation of engulfment of apoptotic cell	GO:1901075	positive regulation of engulfment of apoptotic cell	GO:1901076
negative regulation of ent-pimara-8(14),15-diene biosynthetic process	GO:1901543	positive regulation of ent-pimara-8(14),15-diene biosynthetic process	GO:1901544
negative regulation of entry into reproductive diapause	GO:0061964	positive regulation of entry into reproductive diapause	GO:0061965
negative regulation of eosinophil activation	GO:1902567	positive regulation of eosinophil activation	GO:1902568
negative regulation of eosinophil chemotaxis	GO:2000423	positive regulation of eosinophil chemotaxis	GO:2000424
negative regulation of eosinophil degranulation	GO:0043310	positive regulation of eosinophil degranulation	GO:0043311
negative regulation of eosinophil differentiation	GO:0045644	positive regulation of eosinophil differentiation	GO:0045645
negative regulation of eosinophil extravasation	GO:2000420	positive regulation of eosinophil extravasation	GO:2000421
negative regulation of eosinophil migration	GO:2000417	positive regulation of eosinophil migration	GO:2000418
negative regulation of ephrin receptor signaling pathway	GO:1901188	positive regulation of ephrin receptor signaling pathway	GO:1901189
negative regulation of epiboly involved in gastrulation with mouth forming second	GO:1904087	positive regulation of epiboly involved in gastrulation with mouth forming second	GO:1904088
negative regulation of epidermal cell differentiation	GO:0045605	positive regulation of epidermal cell differentiation	GO:0045606
negative regulation of epidermal growth factor receptor signaling pathway involved in heart process	GO:1905283	positive regulation of epidermal growth factor receptor signaling pathway involved in heart process	GO:1905284
negative regulation of epidermal growth factor receptor signaling pathway	GO:0042059	positive regulation of epidermal growth factor receptor signaling pathway	GO:0045742
negative regulation of epidermal growth factor-activated receptor activity	GO:0007175	positive regulation of epidermal growth factor-activated receptor activity	GO:0045741
negative regulation of epidermis development	GO:0045683	positive regulation of epidermis development	GO:0045684
negative regulation of epinephrine secretion	GO:0032811	positive regulation of epinephrine secretion	GO:0032812
negative regulation of epinephrine uptake	GO:0051627	positive regulation of epinephrine uptake	GO:0051628
negative regulation of epithelial cell apoptotic process	GO:1904036	positive regulation of epithelial cell apoptotic process	GO:1904037
negative regulation of epithelial cell differentiation involved in kidney development	GO:2000697	positive regulation of epithelial cell differentiation involved in kidney development	GO:2000698
negative regulation of epithelial cell differentiation	GO:0030857	positive regulation of epithelial cell differentiation	GO:0030858
negative regulation of epithelial cell migration	GO:0010633	positive regulation of epithelial cell migration	GO:0010634
negative regulation of epithelial cell proliferation involved in lung morphogenesis	GO:2000795	positive regulation of epithelial cell proliferation involved in lung morphogenesis	GO:0060501
negative regulation of epithelial cell proliferation involved in prostate gland development	GO:0060770	positive regulation of epithelial cell proliferation involved in prostate gland development	GO:0060769
negative regulation of epithelial cell proliferation	GO:0050680	positive regulation of epithelial cell proliferation	GO:0050679
negative regulation of epithelial cell-cell adhesion involved in epithelium migration	GO:1903682	positive regulation of epithelial cell-cell adhesion involved in epithelium migration	GO:1903683
negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation	GO:1905006	positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation	GO:1905007
negative regulation of epithelial to mesenchymal transition	GO:0010719	positive regulation of epithelial to mesenchymal transition	GO:0010718
negative regulation of epithelial tube formation	GO:1905277	positive regulation of epithelial tube formation	GO:1905278
negative regulation of epithelium regeneration	GO:1905042	positive regulation of epithelium regeneration	GO:1905043
negative regulation of er-associated ubiquitin-dependent protein catabolic process	GO:1903070	positive regulation of er-associated ubiquitin-dependent protein catabolic process	GO:1903071
negative regulation of erad pathway	GO:1904293	positive regulation of erad pathway	GO:1904294
negative regulation of erbb signaling pathway	GO:1901185	positive regulation of erbb signaling pathway	GO:1901186
negative regulation of erbb3 signaling pathway	GO:1905579	positive regulation of erbb3 signaling pathway	GO:1905580
negative regulation of ergosterol biosynthetic process	GO:0010895	positive regulation of ergosterol biosynthetic process	GO:0070452
negative regulation of ergot alkaloid biosynthetic process	GO:1900823	positive regulation of ergot alkaloid biosynthetic process	GO:1900824
negative regulation of erk1 and erk2 cascade	GO:0070373	positive regulation of erk1 and erk2 cascade	GO:0070374
negative regulation of erk5 cascade	GO:0070377	positive regulation of erk5 cascade	GO:0070378
negative regulation of error-prone translesion synthesis	GO:1904332	positive regulation of error-prone translesion synthesis	GO:1904333
negative regulation of erythrocyte aggregation	GO:0034119	positive regulation of erythrocyte aggregation	GO:0034120
negative regulation of erythrocyte apoptotic process	GO:1902251	positive regulation of erythrocyte apoptotic process	GO:1902252
negative regulation of erythrocyte clearance	GO:0034107	positive regulation of erythrocyte clearance	GO:0034108
negative regulation of erythrocyte differentiation	GO:0045647	positive regulation of erythrocyte differentiation	GO:0045648
negative regulation of erythrocyte enucleation	GO:0061932	positive regulation of erythrocyte enucleation	GO:0061931
negative regulation of erythrophore differentiation	GO:0048779	positive regulation of erythrophore differentiation	GO:0048780
negative regulation of establishment of bipolar cell polarity	GO:1904846	positive regulation of establishment of bipolar cell polarity	GO:0061173
negative regulation of establishment of blood-brain barrier	GO:0090212	positive regulation of establishment of blood-brain barrier	GO:0090211
